Artist,Title,Popularity,Duration_ms,Album,Danceability,Acousticness,Energy,Liveness,Loudness,Valence,Tempo,Speechiness,Artist_Popularity,Artist_Genres,Artist_Followers,Artist_Country,Artist_Song,Song_ID,Normalized_Loudness,Normalized_Popularity,Normalized_Tempo,Genre_IDs
Lady Gaga & Bruno Mars,DIE WITH A SMILE,100,251667,Die With A Smile,0.521,0.308,0.592,0.122,-7.777,0.535,157.969,0.0304,92,"art pop, dance pop, pop",32798999,Unknown,Lady Gaga & Bruno Mars - DIE WITH A SMILE,1,0.8310854065031676,1.0,0.652830625778241,[1]
Disturbed,THE SOUND OF SILENCE - CYRIL REMIX,63,185238,The Sound of Silence (CYRIL Remix),0.68,0.123,0.721,0.162,-4.379,0.244,125.963,0.188,77,"alternative metal, nu metal, rap metal, rock",6960803,Unknown,Disturbed - THE SOUND OF SILENCE - CYRIL REMIX,2,0.9060947881945212,0.63,0.4674659021805229,"[2, 3]"
Sabrina Carpenter,TASTE,94,157279,Short n' Sweet,0.674,0.101,0.907,0.297,-4.086,0.721,112.964,0.064,94,pop,15022263,Unknown,Sabrina Carpenter - TASTE,3,0.9125626365863888,0.94,0.3921813917122752,[1]
Shaboozey,A BAR SONG (TIPSY),86,171291,A Bar Song (Tipsy),0.722,0.0633,0.709,0.0804,-4.95,0.604,81.012,0.0273,80,"modern country pop, pop rap",787653,Unknown,Shaboozey - A BAR SONG (TIPSY),4,0.8934902099291406,0.86,0.207129412446066,"[1, 2, 7]"
Teddy Swims,BAD DREAMS,85,184577,Bad Dreams,0.707,0.274,0.68,0.0932,-6.203,0.62,125.058,0.0884,86,,3398685,Unknown,Teddy Swims - BAD DREAMS,5,0.8658307763625527,0.85,0.4622245388469,[0]
Marshmello & Kane Brown,MILES ON IT,81,168355,Miles On It,0.634,0.00537,0.761,0.549,-4.752,0.785,129.963,0.0472,85,"brostep, edm, pop, progressive electro house",33894470,Unknown,Marshmello & Kane Brown - MILES ON IT,6,0.8978609743714266,0.81,0.4906321489589667,"[1, 4]"
Lost Frequencies & Tom Odell,BLACK FRIDAY - PRETTY LIKE THE SUN,83,145599,Black Friday (pretty like the sun),0.853,0.633,0.618,0.0972,-10.833,0.32,126.031,0.0923,81,"belgian edm, edm, pop dance, tropical house",2934850,Unknown,Lost Frequencies & Tom Odell - BLACK FRIDAY - PRETTY LIKE THE SUN,7,0.7636255270303084,0.83,0.4678597283757565,"[1, 4]"
Billie Eilish,BIRDS OF A FEATHER,97,210373,HIT ME HARD AND SOFT,0.747,0.2,0.507,0.117,-10.171,0.438,104.978,0.0358,96,"art pop, pop",102354814,Unknown,Billie Eilish - BIRDS OF A FEATHER,8,0.7782388909737092,0.97,0.345929980019112,[1]
"Coldplay feat. Little Simz, Burna Boy, Elyanna & Tini",WE PRAY,11,233406,Pop Spotlight,0.742,0.0655,0.509,0.0738,-7.923,0.683,135.961,0.0643,92,"permanent wave, pop",54734700,Unknown,"Coldplay feat. Little Simz, Burna Boy, Elyanna & Tini - WE PRAY",9,0.827862519591179,0.11,0.5253699360032433,[1]
Alex Warren,CARRY YOU HOME,79,166880,"You'll Be Alright, Kid (Chapter 1)",0.525,0.468,0.66,0.128,-7.094,0.458,123.787,0.111,77,"gen z singer-songwriter, singer-songwriter pop",616089,Unknown,Alex Warren - CARRY YOU HOME,10,0.8461623363722655,0.79,0.4548634639330496,[1]
Alesso & Nate Smith,I LIKE IT,76,152349,I Like It (with Nate Smith),0.658,0.000266,0.817,0.259,-3.652,0.629,129.075,0.0373,77,"dance pop, edm, pop, pop dance, progressive electro house",3949902,Unknown,Alesso & Nate Smith - I LIKE IT,11,0.9221429990507936,0.76,0.4854892421741522,"[1, 4]"
"Clean Bandit, Anne-Marie & David Guetta",CRY BABY,73,157086,Cry Baby,0.664,0.333,0.762,0.177,-4.286,0.576,118.979,0.104,77,"pop, uk dance, uk funky",5618814,Unknown,"Clean Bandit, Anne-Marie & David Guetta - CRY BABY",12,0.908147723008322,0.73,0.42701763530536,"[1, 5]"
Gracie Abrams,"I LOVE YOU, I'M SORRY",90,157146,The Secret of Us,0.53,0.656,0.406,0.133,-7.507,0.338,115.94,0.033,90,alt z,3112258,Unknown,"Gracie Abrams - I LOVE YOU, I'M SORRY",13,0.8370455398335578,0.9,0.4094170793154374,[12]
Yves Berendse,TERUG IN DE TIJD,70,187357,Terug In De Tijd,0.65,0.108,0.767,0.0879,-7.688,0.536,122.749,0.0458,63,kermis,39456,Unknown,Yves Berendse - TERUG IN DE TIJD,14,0.8330500430454073,0.7,0.4488518228940433,[12]
The Weeknd,DANCING IN THE FLAMES,84,220036,Dancing In The Flames,0.552,0.0011,0.73,0.0837,-6.203,0.162,116.875,0.0381,96,"canadian contemporary r&b, canadian pop, pop",94569759,Unknown,The Weeknd - DANCING IN THE FLAMES,15,0.8658307763625527,0.84,0.4148321894998986,"[1, 5]"
Pommelien Thijs & Meau,HET MIDDEN,66,161160,Het Midden,0.793,0.109,0.661,0.0631,-6.731,0.846,143.965,0.11,59,,148474,Unknown,Pommelien Thijs & Meau - HET MIDDEN,16,0.8541754045164566,0.66,0.5717255958069093,[0]
